# replication time (downloaded from Lawrence Nature 2013. Supplementary Table5)
chr	start	end	replication_time
1	87700001	87800000	564
1	87800001	87900000	521
1	87900001	88000000	477
1	88000001	88100000	471
1	88100001	88200000	503
1	88200001	88300000	454
1	88300001	88400000	417
1	88400001	88500000	428
1	88500001	88600000	462
1	88600001	88700000	497
1	88700001	88800000	587
1	88800001	88900000	548
1	88900001	89000000	603
1	89000001	89100000	472
1	89100001	89200000	456
1	89200001	89300000	444
1	89300001	89400000	449
1	89400001	89500000	537
1	89500001	89600000	598
1	89600001	89700000	745
1	89700001	89800000	834
1	89800001	89900000	820
1	89900001	90000000	753
1	90000001	90100000	647
1	90100001	90200000	514
1	90200001	90300000	403
1	90300001	90400000	257
1	90400001	90500000	215
1	90500001	90600000	161
1	90600001	90700000	389
1	90700001	90800000	552
1	90800001	90900000	633
1	90900001	91000000	774
1	91000001	91100000	851
1	91100001	91200000	897
1	91200001	91300000	883
1	91300001	91400000	815
1	91400001	91500000	843
1	91500001	91600000	769
1	91600001	91700000	635
1	91700001	91800000	636
1	91800001	91900000	615
1	91900001	92000000	454
1	92000001	92100000	287
1	92100001	92200000	173
1	92200001	92300000	252
1	92300001	92400000	205
1	92400001	92500000	135
1	92500001	92600000	242
1	92600001	92700000	406
1	92700001	92800000	524
1	92800001	92900000	559
1	92900001	93000000	580
1	93000001	93100000	502
1	93100001	93200000	506
1	93200001	93300000	456
1	93300001	93400000	274
1	93400001	93500000	372
1	93500001	93600000	392
1	93600001	93700000	391
1	93700001	93800000	412
1	93800001	93900000	223
1	93900001	94000000	169
1	94000001	94100000	224
1	94100001	94200000	173
1	94200001	94300000	125
1	94300001	94400000	133
1	94400001	94500000	275
1	94500001	94600000	370
1	94600001	94700000	401
1	94700001	94800000	327
1	94800001	94900000	292
1	94900001	95000000	348
1	95000001	95100000	258
1	95100001	95200000	188
1	95200001	95300000	212
1	95300001	95400000	274
1	95400001	95500000	333
1	95500001	95600000	425
1	95600001	95700000	452
1	95700001	95800000	582
1	95800001	95900000	644
1	95900001	96000000	728
1	96000001	96100000	827
1	96100001	96200000	823
1	96200001	96300000	809
1	96300001	96400000	865
1	96400001	96500000	966
1	96500001	96600000	959
1	96600001	96700000	896
1	96700001	96800000	829
1	96800001	96900000	747
1	96900001	97000000	709
1	97000001	97100000	691
1	97100001	97200000	637
1	97200001	97300000	676
1	97300001	97400000	582
1	97400001	97500000	532
1	97500001	97600000	442
1	97600001	97700000	426
1	97700001	97800000	479
1	97800001	97900000	682
1	97900001	98000000	807
1	98000001	98100000	800
1	98100001	98200000	721
1	98200001	98300000	647
1	98300001	98400000	553
1	98400001	98500000	402
1	98500001	98600000	397
1	98600001	98700000	456
1	98700001	98800000	565
1	98800001	98900000	571
1	98900001	99000000	609
1	99000001	99100000	751
1	99100001	99200000	867
1	99200001	99300000	903
1	99300001	99400000	936
1	99400001	99500000	947
1	99500001	99600000	921
1	99600001	99700000	922
1	99700001	99800000	868
1	99800001	99900000	769
1	99900001	100000000	640
1	100000001	100100000	561
1	100100001	100200000	494
1	100200001	100300000	540
1	100300001	100400000	595
1	100400001	100500000	509
1	100500001	100600000	530
1	100600001	100700000	518
1	100700001	100800000	495
1	100800001	100900000	526
1	100900001	101000000	622
1	101000001	101100000	738
1	101100001	101200000	846
1	101200001	101300000	899
1	101300001	101400000	859
1	101400001	101500000	727
1	101500001	101600000	536
1	101600001	101700000	469
1	101700001	101800000	475
1	101800001	101900000	597
1	101900001	102000000	679
1	102000001	102100000	864
1	102100001	102200000	924
1	102200001	102300000	942
1	102300001	102400000	975
1	102400001	102500000	991
1	102500001	102600000	1015
1	102600001	102700000	999
1	102700001	102800000	993
1	102800001	102900000	991
1	102900001	103000000	959
1	103000001	103100000	928
1	103100001	103200000	864
1	103200001	103300000	818
1	103300001	103400000	714
1	103400001	103500000	636
1	103500001	103600000	742
1	103600001	103700000	795
1	103700001	103800000	799
1	103800001	103900000	838
1	103900001	104000000	NaN
1	104000001	104100000	912
1	104100001	104200000	974
1	104200001	104300000	1015
1	104300001	104400000	1029
1	104400001	104500000	1038
1	104500001	104600000	1047
1	104600001	104700000	1082
1	104700001	104800000	1115
1	104800001	104900000	1111
1	104900001	105000000	1122
1	105000001	105100000	1170
1	105100001	105200000	1184
1	105200001	105300000	1190
1	105300001	105400000	1223
1	105400001	105500000	1246
1	105500001	105600000	1272
1	105600001	105700000	1261
1	105700001	105800000	1259
1	105800001	105900000	1275
1	105900001	106000000	1255
1	106000001	106100000	1222
1	106100001	106200000	1215
1	106200001	106300000	1195
1	106300001	106400000	1102
1	106400001	106500000	1116
1	106500001	106600000	NaN
1	106600001	106700000	1127
1	106700001	106800000	1115
1	106800001	106900000	1059
1	106900001	107000000	1075
1	107000001	107100000	1055
1	107100001	107200000	1009
1	107200001	107300000	968
1	107300001	107400000	990
1	107400001	107500000	941
1	107500001	107600000	952
1	107600001	107700000	921
1	107700001	107800000	877
1	107800001	107900000	776
1	107900001	108000000	631
1	108000001	108100000	551
1	108100001	108200000	435
1	108200001	108300000	432
1	108300001	108400000	450
1	108400001	108500000	538
